Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Потребительский класс,Макс. температура теплоносителя,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Максимальное рабочее давление,Ширина упаковки товара,Условная пропускная способность встроенного термостатического вентиля Kvs,Гарантийный срок,Условная пропускная способность регулировочного вентиля Kvs,Высота товара,Глубина товара,Диаметр коллектора,Ширина товара,Количество выходов коллектора,Количество в упаковке,Диаметр отвода коллектора,Вес товара (нетто),Макс. температура окружающей среды,Тип коллектора,Страна производства,Материал уплотнителей o-ring,Мин. рабочая температура,Серия,Макс. рабочая температура,Межосевое расстояние,Набор крепежных элементов в комплекте,Макс. рабочее давление,Диаметр трубы,Комплект поставки,Изображения,Изображения,Изображения,Изображения,Изображения
"RTO 55.003 Воздухоотводчик автоматический 1/2"" Royal Thermo",,RUB,588.16,0,1,,"<p>Купить RTO 55.003 Воздухоотводчик автоматический 1/2"" Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTO 55.003 Воздухоотводчик автоматический 1/2"" Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTO 55.003 Воздухоотводчик автоматический 1/2"" Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTO 55.003 Воздухоотводчик автоматический 1/2"" Royal Thermo с доставкой на uralenergotel.ru","Купить RTO 55.003 Воздухоотводчик автоматический 1/2"" Royal Thermo по низкой цене у официального дилера ТД УЭТ",rto_55_003,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTO 55.003,RTO 55.003,0.13,Стандарт,100,4,Паспорт,7,10,4,,5 лет,,4,4,1/2,4,,60,1/2,0.13,40,Распределительный,КНР,PTFE,5,RTO 55.003,100,,Да,10,1/2НР,1 шт,https://rkcdn.ru/products/1e3213cd-6fc2-11ed-b732-005056013a69/src.jpg,,,,
"RTE 52.103 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 3 выхода Royal Thermo",,RUB,14400.0,1,1,,"<p>Купить RTE 52.103 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 3 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.103 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 3 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.103 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 3 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.103 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 3 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.103 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 3 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_103,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.103,RTE 52.103,2.2,Стандарт,70,10,Паспорт,37,6,26,2.5,5 лет,1.24,8.5,22.9,1,26.9,3,1,3/4,2.2,50,С расходомерами,ИТАЛИЯ,,,RTE 52.103,,,,,,,https://rkcdn.ru/products/2cc4638e-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/4382ddf5-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb80e-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce055-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 52.108 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 8 выходов Royal Thermo",,RUB,28800.0,1,1,,"<p>Купить RTE 52.108 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 8 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.108 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 8 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.108 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 8 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.108 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 8 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.108 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 8 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_108,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.108,RTE 52.108,4.1,Стандарт,70,8,Паспорт,56,6,26,2.5,5 лет,1.24,8.5,47.9,1,26.9,8,1,3/4,4.1,50,С расходомерами,ИТАЛИЯ,,,RTE 52.108,,,,,,,https://rkcdn.ru/products/4382ddf7-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb812-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce051-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2cc46392-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 52.111 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 11 выходов Royal Thermo",,RUB,37800.0,1,1,,"<p>Купить RTE 52.111 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 11 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.111 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 11 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.111 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 11 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.111 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 11 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.111 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 11 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_111,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.111,RTE 52.111,5.3,Стандарт,70,10,Паспорт,73,6,26,2.5,5 лет,1.24,8.5,62.9,1,26.9,11,1,3/4,5.3,50,Универсальный,ИТАЛИЯ,,,RTE 52.111,,,,,,,https://rkcdn.ru/products/4382ddfd-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb818-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce04b-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2cc46398-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 52.109 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 9 выходов Royal Thermo",,RUB,31950.0,1,1,,"<p>Купить RTE 52.109 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 9 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.109 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 9 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.109 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 9 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.109 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 9 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.109 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 9 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_109,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.109,RTE 52.109,4.5,Стандарт,70,10,Паспорт,58,6,26,2.5,5 лет,1.24,8.5,52.9,1,26.9,9,1,3/4,4.5,50,С расходомерами,ИТАЛИЯ,,,RTE 52.109,,,,,,,https://rkcdn.ru/products/4382ddf3-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb810-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2cc46390-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce053-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 51.108 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 8 выходов Royal Thermo",,RUB,24300.0,1,1,,"<p>Купить RTE 51.108 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 8 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.108 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 8 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.108 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 8 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.108 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 8 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.108 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 8 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_108,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.108,RTE 51.108,3.9,Стандарт,100,10,Паспорт,57,10,26,2.5,5 лет,3.8,8.5,47.9,1,26.9,8,1,3/4,3.9,50,Универсальный,ИТАЛИЯ,,,RTE 51.108,,,,,,,https://rkcdn.ru/products/bbaaf7ba-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e10d-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3b5-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/9970e665-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705234-9b23-11ed-b733-005056013a69/src.jpg
"RTE 52.110 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 10 выходов Royal Thermo",,RUB,34650.0,1,1,,"<p>Купить RTE 52.110 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 10 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.110 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 10 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.110 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 10 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.110 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 10 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.110 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 10 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_110,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.110,RTE 52.110,3,Стандарт,70,10,Паспорт,72,6,26,2.5,5 лет,1.24,8.5,57.9,1,26.9,10,1,3/4,4.9,50,С расходомерами,ИТАЛИЯ,,,RTE 52.110,,,,,,,https://rkcdn.ru/products/2cc4639c-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce049-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb81a-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/4382ddff-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 52.112 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 12 выходов Royal Thermo",,RUB,40500.0,1,1,,"<p>Купить RTE 52.112 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 12 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.112 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 12 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.112 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 12 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.112 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 12 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.112 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 12 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_112,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.112,RTE 52.112,5.7,Стандарт,70,10,Паспорт,73,6,26,2.5,5 лет,1.24,8.5,67.9,1,26.9,12,1,3/4,5.7,50,С расходомерами,ИТАЛИЯ,,,RTE 52.112,,,,,,,https://rkcdn.ru/products/2cc4638c-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce057-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/4382ddf1-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb80c-9b22-11ed-b733-005056013a69/src.jpg,
"RTO 62.003 Коллектор с регулировочными вентилями 3/4""×1/2"", 3 выхода Royal Thermo",,RUB,2000.0,0,1,,"<p>Купить RTO 62.003 Коллектор с регулировочными вентилями 3/4""×1/2"", 3 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTO 62.003 Коллектор с регулировочными вентилями 3/4""×1/2"", 3 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTO 62.003 Коллектор с регулировочными вентилями 3/4""×1/2"", 3 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Коллекторы применяются для распределения и регулировки расхода потока на трубопроводах систем холодного и горячего водоснабжения. Преимуществом использования коллекторов со встроенными регулировочными вентилями является то, что с их помощью можно легко и быстро перекрыть контур подачи воды и установить или заменить приборы без отключения или опорожнения всей системы.</p>",,1,,"Купить RTO 62.003 Коллектор с регулировочными вентилями 3/4""×1/2"", 3 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTO 62.003 Коллектор с регулировочными вентилями 3/4""×1/2"", 3 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rto_62_003,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,OPTIMAL,RTO 62.003,0.49,Стандарт,110,7.5,Паспорт,6,10,13.5,,5 лет,,8.5,12.3,,3.3,3,8,,0.47,50,Сантехнический,КНР,EPDM,5,OPTIMAL,110,36,Да,10,3/4ВРх1/2НР,,https://rkcdn.ru/products/e95c9bfc-3825-11ee-b736-005056013a69/src.jpg,,,,
"RTE 52.102 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 2 выхода Royal Thermo",,RUB,11250.0,1,1,,"<p>Купить RTE 52.102 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 2 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.102 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 2 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.102 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 2 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.102 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 2 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.102 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 2 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_102,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.102,RTE 52.102,1.7,Стандарт,70,10,Паспорт,37,6,26,2.5,5 лет,1.24,8.5,17.9,1,26.9,2,1,3/4,1.7,50,С расходомерами,ИТАЛИЯ,,,RTE 52.102,,,,,,,https://rkcdn.ru/products/4382de03-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce05b-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb81e-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2cc4639e-9b22-11ed-b733-005056013a69/src.jpg,
