Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Номинальная производительность охлаждения,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Вес товара с упаковкой (брутто),Мин. рабочая температура воздуха для внешнего блока,Подсветка пульта,Высота упаковки товара,Гарантийный документ,Высота внутр. блока,Глубина упаковки товара,Высота внешнего блока,Макс. рабочая температура воздуха для внешнего блока,Ширина упаковки товара,Память заданных параметров работы,Глубина внешнего блока,Макс. потребляемая мощность,Тип блока,Глубина внутр. блока,"Мощность кондиционера (охлаждение),BTU",Гарантийный срок,Ширина внешнего блока,Ширина внутр. блока,Регулировка положения жалюзи с пульта,Индикация температуры воздуха (вблизи устройства),Индикация температуры воздуха (вблизи пульта управления),Серия,Высота товара,Уровень шума внутр. блока,Ширина декоративной панели,Глубина товара,Мин. производительность обогрева,Макс. уровень шума внешнего блока,Ширина товара,Мин. производительность охлаждения,Эффективен для помещ. площадью до,Моющийся воздушный фильтр в комплекте,Макс. длина магистрали (трассы),Регулировка температуры охлаждения,Вес декоративной панели (нетто),Режим автоочистки,Количество ступеней фильтрации,Макс. перепад высот между внутр. и внешним блоками,Точность установки температуры,Инверторная технология,Вес товара (нетто),Режим обогрева,Режим осушения,Макс. производительность охлаждения,Функция интенсивного охлаждения,Режим SLEEP,Макс. производительность обогрева,Производительность по воздуху,Вес внутр. блока (нетто),Pre Filter (фильтр предварительной очистки),Индикация режимов работы,Потребляемая мощность в режиме нагрева,Вес внешнего блока (нетто),Режим вентиляции,Пульт управления в комплекте,Потребляемая мощность в режиме охлаждения,Номинальная производительность обогрева,Длина кабеля,Регулировка температуры обогрева,Страна производства,Таймер на отключение,Таймер на включение,Хладагент,Антибактериальный фильтр,Деодорирующий фильтр в комплекте,Класс энергоэффективности,Функция ионизации воздуха,"Базовая мощность кондиционера (охлаждение),BTU",Подмес воздуха с улицы,Поддержание температуры вблизи пульта управления,Авторестарт при отключении питания,Необходим блок-распределитель,Макс. количество подключаемых внутр. блоков,Режим размораживания внешнего блока,Коэффициент энергоэффективности EER/COP,Набор крепежных элементов в комплекте,Цифровой дисплей,Класс пылевлагозащищенности,Сетевой кабель,Wi-Fi модуль,Изображения,Изображения,Изображения
"EACD/I-18 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux",,RUB,55300.0,1,1,,"<p>Купить EACD/I-18 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACD/I-18 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACD/I-18 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Благодаря компактному дизайну и системе свободной компоновки вы можете устанавливать систему там, где удобно именно вам. Более того, моющиеся фильтры и высокая эффективность помогут вам сэкономить на электроэнергии и расходных материалах.</p>",,1,,"Купить EACD/I-18 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux с доставкой на uralenergotel.ru","Купить EACD/I-18 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux по низкой цене у официального дилера ТД УЭТ",eacd_i_18_fmi_n8_erp_free_match,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACD/I-18 FMI/N8_ERP Free match,5,Нет,Да,36,-22,,29,Гарантийный талон,0.2,127,,43,57,Да,,0.025,Канальный,0.615,18000,3 года,,0.9,,,Да,Super Match ERP R32,20,33,,61.5,,,90,,50,Да,,Да,,Да,1,,"1,0 °С",Да,27,Да,Да,5,Да,Да,"5,5",840,26,В комплекте,,25,,Да,Да,25,5.5,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,18000,Да,Да,,,,,,,Да (выносной пульт управления),,,,https://rkcdn.ru/products/438dde2e-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/d7191736-4191-11ee-b737-005056941658/src.jpg,
"EACC/I-12 FMI/N8_ERP Комплект  Free match сплит-системы, кассетного типа Electrolux",,RUB,59000.0,1,1,,"<p>Купить EACC/I-12 FMI/N8_ERP Комплект  Free match сплит-системы, кассетного типа Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACC/I-12 FMI/N8_ERP Комплект  Free match сплит-системы, кассетного типа Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACC/I-12 FMI/N8_ERP Комплект  Free match сплит-системы, кассетного типа Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки кассетного типа благодаря возможности свободной компоновки дают возможность устанавливать прибор так, как это нужно именно вам.</p>",,1,,"Купить EACC/I-12 FMI/N8_ERP Комплект  Free match сплит-системы, кассетного типа Electrolux с доставкой на uralenergotel.ru","Купить EACC/I-12 FMI/N8_ERP Комплект  Free match сплит-системы, кассетного типа Electrolux по низкой цене у официального дилера ТД УЭТ",eacc_i_12_fmi_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACC/I-12 FMI/N8_ERP,3.5,Нет,Да,26.7,-22,Да,44.2,Гарантийный талон,0.24,85.1,,43,69.1,Да,,0.03,Кассетный,0.596,12000,3 года,,0.596,Да,Да,Да,Super Match ERP R32,24,34,0.596,59.6,,,59.6,,35,Да,,Да,3.5,Да,1,,"1,0 °С",Да,20.5,Да,Да,3.5,Да,Да,4,650,18,В комплекте,Да,30,,Да,Да,30,4,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,12000,,Да,,,,,,,,,,,https://rkcdn.ru/products/920d8773-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/4c402bdb-4192-11ee-b737-005056941658/src.jpg,
EACS/I-12 HMB FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux,,RUB,30600.0,1,1,,"<p>Купить EACS/I-12 HMB FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACS/I-12 HMB FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACS/I-12 HMB FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки Fusion 2.0 имеют элегантный современный дизайн.</p>

<p>Обладают такими уникальными преимуществами как:</p>
<ul>
<li>Многоступенчатый фильтр (6 степеней фильтрации)</li>
<li>7 скоростей вентилятора</li>
<li>Низкий уровень шума от 21 дБ</li>
<li>Плазменная очиска воздуха</li>
<li>Автоочистка полного цикла</li>
</ul>",,1,,Купить EACS/I-12 HMB FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACS/I-12 HMB FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eacs_i_12_hmb_fmi_n8_erp_in,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACS/I-12 HMB FMI/N8_ERP/in,3.2,Нет,Да,9.5,-22,Нет,25,Гарантийный талон,0.26,32,,43,83,Да,,0.02,Настенный,0.185,12000,3 года,,0.783,Да,Да,Да,Super Match ERP R32,24,24,,81,,,30,,35,Да,,Да,,Да,1,,"1,0 °С",Да,8,Да,Да,3.6,Да,Да,4,590,,В комплекте,Да,20,,Да,Да,20,3.4,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,12000,,Да,,,,,,,,,,,https://rkcdn.ru/products/fb8c083e-ccae-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/437a0f64-d3b8-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d797bf7d-ccae-11ed-b733-005056013a69/src.jpg
EACS/I-18 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux,,RUB,36300.0,1,1,,"<p>Купить EACS/I-18 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACS/I-18 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACS/I-18 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Бесшумные внутренние блоки настенного типа станут вашим помощником в создании комфортных условий даже в спальне или детской, а полезные функции, такие как память положения жалюзи или функция &quot;I-feel&quot;, сделают управление системой простым и удобным.</p>",,1,,Купить EACS/I-18 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACS/I-18 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eacs_i_18_hm_fmi_n8_erp_in,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACS/I-18 HM FMI/N8_ERP/in,4.6,Нет,Да,16.5,-22,Да,31.5,Гарантийный талон,0.3,103,,43,39.5,Да,,0.035,Настенный,0.224,18000,3 года,,0.97,Да,Да,Да,Super Match ERP R32,30,34,,22.4,,,97,,45,Да,,Да,,Да,1,,"1,0 °С",Да,13.5,Да,Да,5.2,Да,Да,"5,4",850,13.5,В комплекте,Да,35,,Да,Да,35,5.2,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,18000,,Да,,,,,,,,,,,https://rkcdn.ru/products/6b04419d-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/fd066eb7-4191-11ee-b737-005056941658/src.jpg,
EACS/I-07 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux,,RUB,22800.0,1,1,,"<p>Купить EACS/I-07 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACS/I-07 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACS/I-07 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Бесшумные внутренние блоки настенного типа станут вашим помощником в создании комфортных условий даже в спальне или детской, а полезные функции, такие как память положения жалюзи или функция &quot;I-feel&quot;, сделают управление системой простым и удобным.</p>",,1,,Купить EACS/I-07 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACS/I-07 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eacs_i_07_hm_fmi_n8_erp_in,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACS/I-07 HM FMI/N8_ERP/in,2.1,Нет,Да,11,-22,Да,36,Гарантийный талон,0.275,85,,43,28,Да,,0.02,Настенный,0.2,7000,3 года,,0.79,Да,Да,Да,Super Match ERP R32,27.5,24,,20,,,79,,20,Да,,Да,,Да,1,,"1,0 °С",Да,10,Да,Да,3.5,Да,Да,"3,5",560,9,В комплекте,Да,20,,Да,Да,20,2.6,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,7000,,Да,,,,,,,,,,,https://rkcdn.ru/products/515e8e07-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/ea414c58-4191-11ee-b737-005056941658/src.jpg,
"EACD/I-09 FMI/N8_ERP Блок внутренний  Free match сплит-системы, канального типа Electrolux",,RUB,42900.0,1,1,,"<p>Купить EACD/I-09 FMI/N8_ERP Блок внутренний  Free match сплит-системы, канального типа Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACD/I-09 FMI/N8_ERP Блок внутренний  Free match сплит-системы, канального типа Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACD/I-09 FMI/N8_ERP Блок внутренний  Free match сплит-системы, канального типа Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Благодаря компактному дизайну и системе свободной компоновки вы можете устанавливать систему там, где удобно именно вам. Более того, моющиеся фильтры и высокая эффективность помогут вам сэкономить на электроэнергии и расходных материалах.</p>",,1,,"Купить EACD/I-09 FMI/N8_ERP Блок внутренний  Free match сплит-системы, канального типа Electrolux с доставкой на uralenergotel.ru","Купить EACD/I-09 FMI/N8_ERP Блок внутренний  Free match сплит-системы, канального типа Electrolux по низкой цене у официального дилера ТД УЭТ",eacd_i_09_fmi_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACD/I-09 FMI/N8_ERP,2.5,Нет,Да,27,-22,,28,Гарантийный талон,0.2,100,,43,57,Да,,0.025,Канальный,0.615,9000,3 года,,0.7,,,Да,Super Match ERP R32,20,31,,61.5,,,70,,25,Да,,Да,,Да,1,,"1,0 °С",Да,22,Да,Да,2.5,Да,Да,"2,8",450,21,В комплекте,,25,,Да,Да,25,2.8,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,9000,Да,Да,,,,,,,Да (выносной пульт управления),,,,https://rkcdn.ru/products/329efe20-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/7005c713-4192-11ee-b737-005056941658/src.jpg,
"EACC/I-18 FMI/N8_ERP Free match Комплект  сплит-системы, кассетного типа Electrolux",,RUB,68500.0,1,1,,"<p>Купить EACC/I-18 FMI/N8_ERP Free match Комплект  сплит-системы, кассетного типа Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACC/I-18 FMI/N8_ERP Free match Комплект  сплит-системы, кассетного типа Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACC/I-18 FMI/N8_ERP Free match Комплект  сплит-системы, кассетного типа Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки кассетного типа благодаря возможности свободной компоновки дают возможность устанавливать прибор так, как это нужно именно вам.</p>",,1,,"Купить EACC/I-18 FMI/N8_ERP Free match Комплект  сплит-системы, кассетного типа Electrolux с доставкой на uralenergotel.ru","Купить EACC/I-18 FMI/N8_ERP Free match Комплект  сплит-системы, кассетного типа Electrolux по низкой цене у официального дилера ТД УЭТ",eacc_i_18_fmi_n8_erp_free_match,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACC/I-18 FMI/N8_ERP Free match,4.5,Нет,Да,26.7,-22,Да,44.2,Гарантийный талон,0.24,85.1,,43,69.1,Да,,0.035,Кассетный,0.596,18000,3 года,,0.596,Да,Да,Да,Super Match ERP R32,24,35,0.596,59.6,,,59.6,,45,Да,,Да,3.5,Да,1,,"1,0 °С",Да,20.5,Да,Да,4.5,Да,Да,5,710,20,В комплекте,Да,35,,Да,Да,35,5,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,18000,,Да,,,,,,,,,,,https://rkcdn.ru/products/9a0b88c5-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/53770868-4192-11ee-b737-005056941658/src.jpg,
EACO/I-42 FMI-5/N8_ERP Блок внешний  Free match сплит-системы Electrolux,,RUB,266500.0,1,1,,"<p>Купить EACO/I-42 FMI-5/N8_ERP Блок внешний  Free match сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACO/I-42 FMI-5/N8_ERP Блок внешний  Free match сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACO/I-42 FMI-5/N8_ERP Блок внешний  Free match сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внешние блоки Electrolux — это возможность подключения до пяти внутренних блоков, свобода в выборе типов внутренних блоков и надежная работа, даже когда за окном минусовая температура.</p>",,1,,Купить EACO/I-42 FMI-5/N8_ERP Блок внешний  Free match сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACO/I-42 FMI-5/N8_ERP Блок внешний  Free match сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eaco_i_42_fmi_5_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACO/I-42 FMI-5/N8_ERP,12,Нет,Да,80,-22,,90,Гарантийный талон,,108,0.826,43,50,Да,0.427,3.45,Внешний,,42000,3 года,1.02,,,,,Super Match ERP R32,82.6,,,42.7,"2,6",60,102,2.6,120,,100,Да,,Да,,25,"1,0 °С",Да,73,Да,Да,13,Да,Да,"14,5",7200,,,,3500,72,,Да,3450,13,,Да,КНР,,,R32,,,A++,Нет,42000,,,Да,Нет,5,Да,"3,48/3,71",Нет,,IPX0,Нет,Нет,https://rkcdn.ru/products/28d7c26a-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/94360201-e80b-11ec-b732-005056013a69/src.jpg,
EACS/I-12 HEN FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux,,RUB,35800.0,0,1,,"<p>Купить EACS/I-12 HEN FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACS/I-12 HEN FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACS/I-12 HEN FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Дизайнерские внутренние блоки Enterprise имеют уникальный дизайн. Передняя панель выполнена в рифленном дизайне, матовая, черно-графитового цвета.</p>

<p>Обладают такими уникальными преимуществами как:</p>
<ul>
<li>4D поток воздуха, за счет вертикальных и горизонтальных жалюзи</li>
<li>Многоступенчатый фильтр (6 степеней фильтрации)</li>
<li>7 скоростей вентилятора</li>
<li>Низкий уровень шума от 21 дБ</li>
<li>Плазменная очиска воздуха</li>
<li>UVC стерилизация</li>
</ul>",,1,,Купить EACS/I-12 HEN FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACS/I-12 HEN FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eacs_i_12_hen_fmi_n8_erp_in,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACS/I-12 HEN FMI/N8_ERP/in,3.5,Нет,Да,14,-22,Нет,26,Гарантийный талон,0.293,36,,43,89,Да,,0.025,Настенный,0.2,12000,3 года,,0.837,Да,Да,Да,Super Match ERP R32,25,25,,87,,,34,,35,Да,,Да,,Да,1,,"1,0 °С",Да,11.5,Да,Да,4.4,Да,Да,"4,7",680,,В комплекте,Да,25,,Да,Да,25,3.8,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,12000,,Да,,,,,,,,,,,https://rkcdn.ru/products/2e9ddd69-ccaf-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5d4c2bdb-d3b8-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/3f3386a4-ccaf-11ed-b733-005056013a69/src.jpg
EACS/I-09 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux,,RUB,24000.0,1,1,,"<p>Купить EACS/I-09 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACS/I-09 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACS/I-09 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Бесшумные внутренние блоки настенного типа станут вашим помощником в создании комфортных условий даже в спальне или детской, а полезные функции, такие как память положения жалюзи или функция &quot;I-feel&quot;, сделают управление системой простым и удобным.</p>",,1,,Купить EACS/I-09 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACS/I-09 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eacs_i_09_hm_fmi_n8_erp_in,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACS/I-09 HM FMI/N8_ERP/in,2.5,Нет,Да,11,-22,Да,36,Гарантийный талон,0.275,87,,43,28,Да,,0.02,Настенный,0.2,9000,3 года,,0.79,Да,Да,Да,Super Match ERP R32,27.5,28,,20,,,79,,25,Да,,Да,,Да,1,,"1,0 °С",Да,9,Да,Да,3.35,Да,Да,"4,2",560,9,В комплекте,Да,20,,Да,Да,20,2.8,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,9000,,Да,,,,,,,,,,,https://rkcdn.ru/products/584e664d-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/ea414c5a-4191-11ee-b737-005056941658/src.jpg,
