Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,Гарантийный срок,"Диаметр воздуховода, мм",Макс. напор,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Вид,Диаметр,Форма корпуса,Изображения
DVK-S 125 Диффузор универсальный SHUFT,,RUB,270.0,1,1,,"<p>Купить DVK-S 125 Диффузор универсальный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVK-S 125 Диффузор универсальный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVK-S 125 Диффузор универсальный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузоры серии DVK-S применяются в системах приточной и вытяжной вентиляции и кондиционирования. Представляют собой потолочные воздухораспределительные элементы с плавным регулированием расхода воздуха, которое осуществляется с помощью вращения центрального диска. Изготовлен из полипропилена. Для удобства монтажа снабжены крепежной муфтой с демфирующим кольцом. Цвет белый (RAL-9016).</p>

<h4>Гарантия — 1 год</h4>",,1,,Купить DVK-S 125 Диффузор универсальный SHUFT с доставкой на uralenergotel.ru,Купить DVK-S 125 Диффузор универсальный SHUFT по низкой цене у официального дилера ТД УЭТ,dvk_s_125,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 600x300,DVK-S 125,0.2,7,125,17,17,12 мес,125,,6.5,17,16.7,0.18,Диффузор,,Круглая,https://rkcdn.ru/products/8022ea8a-f10b-11ee-b8d8-00505601218a/src.jpg
DVK-S 160 Диффузор универсальный SHUFT,,RUB,350.0,1,1,,"<p>Купить DVK-S 160 Диффузор универсальный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVK-S 160 Диффузор универсальный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVK-S 160 Диффузор универсальный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузоры серии DVK-S применяются в системах приточной и вытяжной вентиляции и кондиционирования. Представляют собой потолочные воздухораспределительные элементы с плавным регулированием расхода воздуха, которое осуществляется с помощью вращения центрального диска. Изготовлен из полипропилена. Для удобства монтажа снабжены крепежной муфтой с демфирующим кольцом. Цвет белый (RAL-9016).</p>

<h4>Гарантия — 1 год</h4>",,1,,Купить DVK-S 160 Диффузор универсальный SHUFT с доставкой на uralenergotel.ru,Купить DVK-S 160 Диффузор универсальный SHUFT по низкой цене у официального дилера ТД УЭТ,dvk_s_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 600x300,DVK-S 160,0.3,7,160,20,19,12 мес,160,,6.5,19,19,0.24,Диффузор,,Круглая,https://rkcdn.ru/products/8022ea8c-f10b-11ee-b8d8-00505601218a/src.jpg
DVS E 100 Диффузор SHUFT,,RUB,320.0,1,1,,"<p>Купить DVS E 100 Диффузор SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVS E 100 Диффузор SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVS E 100 Диффузор SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузор применяется для систем вентиляции и&nbsp;кондиционирования. Он&nbsp;представляет собой воздухораспределительное устройство с&nbsp;регулируемым расходом воздуха, который осуществляется с&nbsp;помощью вращения центрального диска. </p>

<p>Диффузор изготовлен из&nbsp;высококачественной стали с&nbsp;последующей порошковой окраской. Цвет окраски&nbsp;&mdash; &laquo;кристально-белый&raquo; (RAL 9016).&nbsp;Фактура&nbsp;&mdash; глянцевая.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить DVS E 100 Диффузор SHUFT с доставкой на uralenergotel.ru,Купить DVS E 100 Диффузор SHUFT по низкой цене у официального дилера ТД УЭТ,dvs_e_100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,DVS E 100,0.77,7,100,14,14,12 мес,100,,4.4,14,13.6,,Диффузор,,Круглая,https://rkcdn.ru/products/e5bc2a8a-e011-11ed-b733-005056013a69/src.jpg
DVS E-P 100 Диффузор SHUFT,,RUB,320.0,1,1,,"<p>Купить DVS E-P 100 Диффузор SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVS E-P 100 Диффузор SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVS E-P 100 Диффузор SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузор применяется для систем вентиляции и&nbsp;кондиционирования. Он&nbsp;представляет собой воздухораспределительное устройство с&nbsp;регулируемым расходом воздуха, который осуществляется с&nbsp;помощью вращения центрального диска. </p>

<p>Диффузор изготовлен из&nbsp;высококачественной стали с&nbsp;последующей порошковой окраской. Цвет окраски&nbsp;&mdash; &laquo;кристально-белый&raquo; (RAL 9016).&nbsp;Фактура&nbsp;&mdash; глянцевая.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить DVS E-P 100 Диффузор SHUFT с доставкой на uralenergotel.ru,Купить DVS E-P 100 Диффузор SHUFT по низкой цене у официального дилера ТД УЭТ,dvs_e_p_100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,DVS E-P 100,0.77,8,100,14,10,12 мес,100,,4.4,14,13.6,,Диффузор,,Круглая,https://rkcdn.ru/products/834c9cf5-e011-11ed-b733-005056013a69/src.jpg
DVS E-P 160 Диффузор SHUFT,,RUB,510.0,1,1,,"<p>Купить DVS E-P 160 Диффузор SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVS E-P 160 Диффузор SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVS E-P 160 Диффузор SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузор применяется для систем вентиляции и&nbsp;кондиционирования. Он&nbsp;представляет собой воздухораспределительное устройство с&nbsp;регулируемым расходом воздуха, который осуществляется с&nbsp;помощью вращения центрального диска. </p>

<p>Диффузор изготовлен из&nbsp;высококачественной стали с&nbsp;последующей порошковой окраской. Цвет окраски&nbsp;&mdash; &laquo;кристально-белый&raquo; (RAL 9016).&nbsp;Фактура&nbsp;&mdash; глянцевая.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить DVS E-P 160 Диффузор SHUFT с доставкой на uralenergotel.ru,Купить DVS E-P 160 Диффузор SHUFT по низкой цене у официального дилера ТД УЭТ,dvs_e_p_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,DVS E-P 160,0.96,8,160,21,21,12 мес,160,,6.04,21,20.9,,Диффузор,,Круглая,https://rkcdn.ru/products/834c9cf3-e011-11ed-b733-005056013a69/src.jpg
DVS E-P 200 Диффузор SHUFT,,RUB,630.0,1,1,,"<p>Купить DVS E-P 200 Диффузор SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVS E-P 200 Диффузор SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVS E-P 200 Диффузор SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузор применяется для систем вентиляции и&nbsp;кондиционирования. Он&nbsp;представляет собой воздухораспределительное устройство с&nbsp;регулируемым расходом воздуха, который осуществляется с&nbsp;помощью вращения центрального диска. </p>

<p>Диффузор изготовлен из&nbsp;высококачественной стали с&nbsp;последующей порошковой окраской. Цвет окраски&nbsp;&mdash; &laquo;кристально-белый&raquo; (RAL 9016).&nbsp;Фактура&nbsp;&mdash; глянцевая.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить DVS E-P 200 Диффузор SHUFT с доставкой на uralenergotel.ru,Купить DVS E-P 200 Диффузор SHUFT по низкой цене у официального дилера ТД УЭТ,dvs_e_p_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,DVS E-P 200,1.16,10,200,25,25,12 мес,200,,6.2,25,24.85,,Диффузор,,Круглая,https://rkcdn.ru/products/834c9cf7-e011-11ed-b733-005056013a69/src.jpg
PG 355 Решетка SHUFT,,RUB,1970.0,1,1,,"<p>Купить PG 355 Решетка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PG 355 Решетка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PG 355 Решетка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Защитная решетка применяется для защиты круглых канальных вентиляторов и&nbsp;систем вентиляции от&nbsp;попадания посторонних предметов. Решетки изготавливаются из&nbsp;оцинкованной стали. Крепятся при помощи саморезов.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить PG 355 Решетка SHUFT с доставкой на uralenergotel.ru,Купить PG 355 Решетка SHUFT по низкой цене у официального дилера ТД УЭТ,pg_355,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,AXW,PG 355,0.5,2,355,35.5,35.5,12 мес,,,2,35.5,35.5,,Решетка,355,,https://rkcdn.ru/products/c90e83bd-e1be-11ed-b733-005056013a69/src.jpg
PG 160 Решетка SHUFT,,RUB,740.0,1,1,,"<p>Купить PG 160 Решетка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PG 160 Решетка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PG 160 Решетка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Защитная решетка применяется для защиты круглых канальных вентиляторов и&nbsp;систем вентиляции от&nbsp;попадания посторонних предметов. Решетки изготавливаются из&nbsp;оцинкованной стали. Крепятся при помощи саморезов.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить PG 160 Решетка SHUFT с доставкой на uralenergotel.ru,Купить PG 160 Решетка SHUFT по низкой цене у официального дилера ТД УЭТ,pg_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Light Commercial,PG 160,0.2,2,160,16,16,12 мес,,,2,16,16,,Решетка,160,,https://rkcdn.ru/products/c90e83c5-e1be-11ed-b733-005056013a69/src.jpg
4_CA 600*600 new Потолочная решетка 4 CA 600*600 new SHUFT,,RUB,2870.0,1,1,,"<p>Купить 4_CA 600*600 new Потолочная решетка 4 CA 600*600 new SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на 4_CA 600*600 new Потолочная решетка 4 CA 600*600 new SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим 4_CA 600*600 new Потолочная решетка 4 CA 600*600 new SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Потолочная решетка предназначена для подачи и&nbsp;удаления воздуха в&nbsp;системах вентиляции и&nbsp;кондиционирования. Решетка изготовлена из&nbsp;высококачественного алюминиевого профиля и&nbsp;окрашена методом порошкового напыления в&nbsp;белый цвет (RAL 9016).&nbsp;Для удобства обслуживания и&nbsp;монтажа внутренняя часть решетки может выниматься и&nbsp;устанавливаться на&nbsp;уже смонтированную раму. Монтаж решетки к&nbsp;воздуховоду осуществляется с&nbsp;помощью самонарезающих винтов. Решетки 4CA также могут комплектоваться клапаном расхода воздуха&nbsp;D.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить 4_CA 600*600 new Потолочная решетка 4 CA 600*600 new SHUFT с доставкой на uralenergotel.ru,Купить 4_CA 600*600 new Потолочная решетка 4 CA 600*600 new SHUFT по низкой цене у официального дилера ТД УЭТ,4_ca_600x600_new,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,TORNADO,4_CA 600*600 new,2.03,6,600*600,54,60,12 мес,,,6,60,54,1.53,Решетка,,,https://rkcdn.ru/products/8ad0f285-f119-11ee-b8d8-00505601218a/src.jpg
PG 315 Решетка SHUFT,,RUB,1670.0,1,1,,"<p>Купить PG 315 Решетка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PG 315 Решетка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PG 315 Решетка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Защитная решетка применяется для защиты круглых канальных вентиляторов и&nbsp;систем вентиляции от&nbsp;попадания посторонних предметов. Решетки изготавливаются из&nbsp;оцинкованной стали. Крепятся при помощи саморезов.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить PG 315 Решетка SHUFT с доставкой на uralenergotel.ru,Купить PG 315 Решетка SHUFT по низкой цене у официального дилера ТД УЭТ,pg_315,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,ETF01,PG 315,0.3,2,300,31.5,31.5,12 мес,,,2,31.5,31.5,,Решетка,315,,https://rkcdn.ru/products/c90e83c9-e1be-11ed-b733-005056013a69/src.jpg
PGC 250 Наружная решетка SHUFT,,RUB,3360.0,1,1,,"<p>Купить PGC 250 Наружная решетка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PGC 250 Наружная решетка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PGC 250 Наружная решетка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Алюминиевая наружная решетка для круглых каналов предназначена для перекрытия входных внешних отверстий соответствующего диаметра. Решетка препятствует попаданию в&nbsp;воздуховоды воды, а&nbsp;также, за&nbsp;счет установленной сетки, различных предметов.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить PGC 250 Наружная решетка SHUFT с доставкой на uralenergotel.ru,Купить PGC 250 Наружная решетка SHUFT по низкой цене у официального дилера ТД УЭТ,pgc_250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,PGC 250,1.1,2,250,28,28,12 мес,,,2.2,27.9,25,0.78,Решетка,,,https://rkcdn.ru/products/d6b456f7-f109-11ee-b8d8-00505601218a/src.jpg
PG 400 Решетка SHUFT,,RUB,2580.0,1,1,,"<p>Купить PG 400 Решетка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PG 400 Решетка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PG 400 Решетка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Защитная решетка применяется для защиты круглых канальных вентиляторов и&nbsp;систем вентиляции от&nbsp;попадания посторонних предметов. Решетки изготавливаются из&nbsp;оцинкованной стали. Крепятся при помощи саморезов.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить PG 400 Решетка SHUFT с доставкой на uralenergotel.ru,Купить PG 400 Решетка SHUFT по низкой цене у официального дилера ТД УЭТ,pg_400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CAU VIM,PG 400,0.5,2.5,400,40,40,12 мес,,,2.5,40,40,,Решетка,400,,https://rkcdn.ru/products/c90e83c7-e1be-11ed-b733-005056013a69/src.jpg
2_WA_ 200*200 Настенная двухрядная решетка 2 WA 200*200 SHUFT,,RUB,910.0,1,1,,"<p>Купить 2_WA_ 200*200 Настенная двухрядная решетка 2 WA 200*200 SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на 2_WA_ 200*200 Настенная двухрядная решетка 2 WA 200*200 SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим 2_WA_ 200*200 Настенная двухрядная решетка 2 WA 200*200 SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Решетка предназначена для использования в&nbsp;приточно вытяжных системах вентиляции и&nbsp;кондиционирования. Решетка применяется для монтажа в&nbsp;воздуховоды или строительные проемы помещений различных типов, изготовлена из&nbsp;высококачественного алюминиевого профиля и&nbsp;окрашена методом порошкового напыления в&nbsp;белый цвет (RAL9016). Решетка снабжена индивидуально регулируемыми жалюзи, что позволяет изменять направление воздушной струи, также может комплектоваться клапаном расхода воздуха&nbsp;D.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить 2_WA_ 200*200 Настенная двухрядная решетка 2 WA 200*200 SHUFT с доставкой на uralenergotel.ru,Купить 2_WA_ 200*200 Настенная двухрядная решетка 2 WA 200*200 SHUFT по низкой цене у официального дилера ТД УЭТ,2_wa__200x200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,2_WA_ 200*200,0.37,5,200*200,25,25,12 мес,,,5,25,25,,Решетка двухрядная,,,https://rkcdn.ru/products/e0557632-e1c0-11ed-b733-005056013a69/src.jpg
2_WA 300*100 Настенная двухрядная решетка 2 WA 300*100 SHUFT,,RUB,910.0,1,1,,"<p>Купить 2_WA 300*100 Настенная двухрядная решетка 2 WA 300*100 SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на 2_WA 300*100 Настенная двухрядная решетка 2 WA 300*100 SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим 2_WA 300*100 Настенная двухрядная решетка 2 WA 300*100 SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Решетка предназначена для использования в&nbsp;приточно вытяжных системах вентиляции и&nbsp;кондиционирования. Решетка применяется для монтажа в&nbsp;воздуховоды или строительные проемы помещений различных типов, изготовлена из&nbsp;высококачественного алюминиевого профиля и&nbsp;окрашена методом порошкового напыления в&nbsp;белый цвет (RAL9016). Решетка снабжена индивидуально регулируемыми жалюзи, что позволяет изменять направление воздушной струи, также может комплектоваться клапаном расхода воздуха&nbsp;D.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить 2_WA 300*100 Настенная двухрядная решетка 2 WA 300*100 SHUFT с доставкой на uralenergotel.ru,Купить 2_WA 300*100 Настенная двухрядная решетка 2 WA 300*100 SHUFT по низкой цене у официального дилера ТД УЭТ,2_wa__300x100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,2_WA  300*100,0.31,5,300*100,35,15,12 мес,,,5,35,15,,Решетка двухрядная,,,https://rkcdn.ru/products/e0557636-e1c0-11ed-b733-005056013a69/src.jpg
