Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Посадочный диаметр вентиляционного канала,Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,Длина товара,Гарантийный срок,Температурный диапазон эксплуатации,"Диаметр воздуховода, мм",Серия,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Изображения
DCr 400 Воздушный клапан SHUFT,,RUB,3520.0,1,1,,"<p>Купить DCr 400 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 400 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 400 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 400 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 400 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 400,3.4,400,42.3,400,40,41,,12 мес,DCr,400,DCr,42.3,40,41,2.91,https://rkcdn.ru/products/3fe32872-d19d-11ee-b8d6-00505601218a/src.jpg
RSK-160 Обратный клапан SHUFT,,RUB,820.0,1,1,,"<p>Купить RSK-160 Обратный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RSK-160 Обратный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RSK-160 Обратный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить RSK-160 Обратный клапан SHUFT с доставкой на uralenergotel.ru,Купить RSK-160 Обратный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,rsk_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,RSK-160,0.5,,10,160,16,16,,12 мес,,160,RSK,9.5,16.5,16.5,0.24,https://rkcdn.ru/products/6eadff66-e1bb-11ed-b733-005056013a69/src.jpg
DCGAr 200 Воздушный клапан SHUFT,,RUB,2520.0,1,1,,"<p>Купить DCGAr 200 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 200 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 200 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 200 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 200 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 200,1.95,200,26,200,34,21,,12 мес,,200,DCGAr,26,34,21,1.45,https://rkcdn.ru/products/1c3fb53a-e05c-11ed-b733-005056013a69/src.jpg
DCGAr 100 Воздушный клапан SHUFT,,RUB,2690.0,1,1,,"<p>Купить DCGAr 100 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 100 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 100 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 100 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 100 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 100,1.35,100,26,100,24,11,,12 мес,,100,DCGAr,26,24,11,0.85,https://rkcdn.ru/products/1c3fb542-e05c-11ed-b733-005056013a69/src.jpg
GSKRSK009_ RSK-355 Обратный клапан SHUFT,,RUB,3730.0,1,1,,"<p>Купить GSKRSK009_ RSK-355 Обратный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GSKRSK009_ RSK-355 Обратный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GSKRSK009_ RSK-355 Обратный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить GSKRSK009_ RSK-355 Обратный клапан SHUFT с доставкой на uralenergotel.ru,Купить GSKRSK009_ RSK-355 Обратный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,gskrsk009_,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,GSKRSK009_,1.91,,20,355,35,35.5,,12 мес,,355,RSK,20,35.5,35.5,1.41,https://rkcdn.ru/products/6eadff6e-e1bb-11ed-b733-005056013a69/src.jpg
DCGAr 315 Воздушный клапан SHUFT,,RUB,3180.0,1,1,,"<p>Купить DCGAr 315 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 315 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 315 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 315 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 315 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_315,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 315,3,315,30,315,48,33,,12 мес,,315,DCGAr,30,48,33,2.9,https://rkcdn.ru/products/1c3fb540-e05c-11ed-b733-005056013a69/src.jpg
DCGAr 400 Воздушный клапан SHUFT,,RUB,4630.0,1,1,,"<p>Купить DCGAr 400 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 400 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 400 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 400 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 400 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 400,5,400,26,400,55,40,,12 мес,,400,DCGAr,26,55,40,4.5,https://rkcdn.ru/products/1c3fb53c-e05c-11ed-b733-005056013a69/src.jpg
FKr 900*500 Гибкая вставка SHUFT,,RUB,4250.0,1,1,,"<p>Купить FKr 900*500 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 900*500 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 900*500 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкие вставки SHUFT серии FKr для прямоугольных воздуховодов предназначены для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера.

</p>

<p>Выполняют функцию вибропоглощения для пресечения распространения вибрации отдельных элементов на всю вентиляционную систему.

</p>

<p>Корпус вставки выполнен из оцинкованной стали, в середине закреплена лента ПВХ, обеспечивающая герметичность канала.</p>",,1,,Купить FKr 900*500 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 900*500 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_900500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 900*500,4,,54,900*500,94,54,,12 мес,,,FKr,50,90,50,4,https://rkcdn.ru/products/0b52f839-e059-11ed-b733-005056013a69/src.jpg
HDr Ручной привод SHUFT,,RUB,580.0,1,1,,"<p>Купить HDr Ручной привод SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на HDr Ручной привод SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим HDr Ручной привод SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручной привод HDr предназначен для ручного управления заслонкой клапанов DCGAr (для круглых каналов) и DRr (для прямоугольных каналов). Ручной привод устанавливается на шток воздушного клапана.</p>",,1,,Купить HDr Ручной привод SHUFT с доставкой на uralenergotel.ru,Купить HDr Ручной привод SHUFT по низкой цене у официального дилера ТД УЭТ,hdr,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,HDr,HDr,0.5,,2.2,,16,2.2,,12 мес,,,HDr,2.2,16,2.2,0.1,https://rkcdn.ru/products/c0187986-011a-11e8-8236-ac162d7b6f40/src.jpg
RSK-250_ Клапан обратный RSK-250 SHUFT,,RUB,1450.0,1,1,,"<p>Купить RSK-250_ Клапан обратный RSK-250 SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RSK-250_ Клапан обратный RSK-250 SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RSK-250_ Клапан обратный RSK-250 SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить RSK-250_ Клапан обратный RSK-250 SHUFT с доставкой на uralenergotel.ru,Купить RSK-250_ Клапан обратный RSK-250 SHUFT по низкой цене у официального дилера ТД УЭТ,rsk_250_,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,RSK-250_,0.746,,13,250,25,25,,12 мес,,250,RSK,11,21,21,0.68,https://rkcdn.ru/products/6eadff64-e1bb-11ed-b733-005056013a69/src.jpg
DCr 100 Воздушный клапан SHUFT,,RUB,1460.0,1,1,,"<p>Купить DCr 100 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 100 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 100 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 100 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 100 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 100,0.88,100,19.8,100,10,12,,12 мес,DCr,100,DCr,19.8,12,10,0.88,https://rkcdn.ru/products/68efc207-e05c-11ed-b733-005056013a69/src.jpg
DCr 125 Воздушный клапан SHUFT,,RUB,1670.0,1,1,,"<p>Купить DCr 125 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 125 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 125 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 125 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 125 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_125,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 125,1,125,20,125,12,15,,12 мес,DCr,125,DCr,20,15,12.5,0.5,https://rkcdn.ru/products/68efc209-e05c-11ed-b733-005056013a69/src.jpg
DCr 160 Воздушный клапан SHUFT,,RUB,1840.0,1,1,,"<p>Купить DCr 160 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 160 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 160 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 160 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 160 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 160,1.24,160,18.3,160,13,20,,12 мес,DCr,160,DCr,18.3,20,13.5,0.74,https://rkcdn.ru/products/68efc20f-e05c-11ed-b733-005056013a69/src.jpg
DCr 200 Воздушный клапан SHUFT,,RUB,1980.0,1,1,,"<p>Купить DCr 200 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 200 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 200 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 200 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 200 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 200,1.61,200,22.3,200,21,20,,12 мес,DCr,200,DCr,22.3,20,21,1.11,https://rkcdn.ru/products/68efc20d-e05c-11ed-b733-005056013a69/src.jpg
