Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Посадочный диаметр вентиляционного канала,Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,"Диаметр воздуховода, мм",Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Изображения
SCr 125/600 Шумоглушитель SHUFT,,RUB,5300.0,1,1,,"<p>Купить SCr 125/600 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 125/600 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 125/600 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 125/600 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 125/600 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_125_600,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 125/600,5.5,125,25.5,125,74.4,25.5,125,25.5,74.4,25.5,5,https://rkcdn.ru/products/e4e158a9-e1c2-11ed-b733-005056013a69/src.jpg
SCr 125/900 Шумоглушитель SHUFT,,RUB,6750.0,1,1,,"<p>Купить SCr 125/900 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 125/900 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 125/900 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 125/900 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 125/900 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_125_900,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 125/900,8.5,125,25.5,125,107,25.5,125,25.5,107,25.5,8,https://rkcdn.ru/products/e4e158b5-e1c2-11ed-b733-005056013a69/src.jpg
SCr 160/600 Шумоглушитель SHUFT,,RUB,5950.0,1,1,,"<p>Купить SCr 160/600 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 160/600 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 160/600 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 160/600 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 160/600 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_160_600,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 160/600,7.5,160,30.2,160,74,30.2,160,30.2,74,30.2,7,https://rkcdn.ru/products/e4e158b7-e1c2-11ed-b733-005056013a69/src.jpg
SCr 160/900 Шумоглушитель SHUFT,,RUB,7410.0,1,1,,"<p>Купить SCr 160/900 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 160/900 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 160/900 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 160/900 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 160/900 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_160_900,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 160/900,9.5,160,31.5,160,31.5,104,160,31.5,31.5,104,9,https://rkcdn.ru/products/e4e158b1-e1c2-11ed-b733-005056013a69/src.jpg
SCr 200/600 Шумоглушитель SHUFT,,RUB,7160.0,1,1,,"<p>Купить SCr 200/600 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 200/600 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 200/600 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 200/600 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 200/600 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_200_600,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 200/600,8.5,200,32,200,72,33,200,32,72,33,8,https://rkcdn.ru/products/e4e158b3-e1c2-11ed-b733-005056013a69/src.jpg
SCr 200/900 Шумоглушитель SHUFT,,RUB,9000.0,1,1,,"<p>Купить SCr 200/900 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 200/900 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 200/900 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 200/900 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 200/900 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_200_900,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 200/900,11.5,200,34.5,200,34.5,104,200,34.5,34.5,104,11,https://rkcdn.ru/products/e4e158bd-e1c2-11ed-b733-005056013a69/src.jpg
SCr 250/600 Шумоглушитель SHUFT,,RUB,8350.0,1,1,,"<p>Купить SCr 250/600 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 250/600 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 250/600 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 250/600 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 250/600 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_250_600,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 250/600,10.5,250,37,250,72,37,250,37,72,37,10,https://rkcdn.ru/products/e4e158bb-e1c2-11ed-b733-005056013a69/src.jpg
SCr 250/900 Шумоглушитель SHUFT,,RUB,10590.0,1,1,,"<p>Купить SCr 250/900 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 250/900 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 250/900 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 250/900 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 250/900 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_250_900,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 250/900,13.5,250,39,250,105,39,250,39,105,39,13,https://rkcdn.ru/products/e4e158b9-e1c2-11ed-b733-005056013a69/src.jpg
SCr 315/600 Шумоглушитель SHUFT,,RUB,10850.0,1,1,,"<p>Купить SCr 315/600 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 315/600 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 315/600 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 315/600 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 315/600 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_315_600,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 315/600,13.5,315,46,300,46,74.5,315,46,46,74.5,13,https://rkcdn.ru/products/eaf4faa8-e1c2-11ed-b733-005056013a69/src.jpg
SCr 315/900 Шумоглушитель SHUFT,,RUB,14300.0,1,1,,"<p>Купить SCr 315/900 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 315/900 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 315/900 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 315/900 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 315/900 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_315_900,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 315/900,19.5,315,44,300,107,44,315,44,107,44,19,https://rkcdn.ru/products/eaf4faac-e1c2-11ed-b733-005056013a69/src.jpg
SCr 400/600 Шумоглушитель SHUFT,,RUB,19330.0,1,1,,"<p>Купить SCr 400/600 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 400/600 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 400/600 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 400/600 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 400/600 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_400_600,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 400/600,17.5,400,52,400,72,52,400,52,72,52,17,https://rkcdn.ru/products/eaf4faaa-e1c2-11ed-b733-005056013a69/src.jpg
SCr 400/900 Шумоглушитель SHUFT,,RUB,20390.0,1,1,,"<p>Купить SCr 400/900 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 400/900 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 400/900 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 400/900 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 400/900 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_400_900,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 400/900,23.5,400,51,400,106,53,400,51,106,53,23,https://rkcdn.ru/products/eaf4fab0-e1c2-11ed-b733-005056013a69/src.jpg
SCr 500/900 Шумоглушитель SHUFT,,RUB,25550.0,0,1,,"<p>Купить SCr 500/900 Шумоглушитель SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SCr 500/900 Шумоглушитель SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SCr 500/900 Шумоглушитель SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Шумоглушитель предназначен для снижения шума от&nbsp;вентилятора в&nbsp;канале воздуховода, как на&nbsp;притоке, так и&nbsp;на&nbsp;вытяжке при непосредственной установке в&nbsp;канал систем вентиляции и&nbsp;кондиционирования. Перемещаемый воздух не&nbsp;должен содержать твердых, клеящихся или агрессивных примесей. Шумоглушитель изготавливается из&nbsp;оцинкованной стали с&nbsp;шумопоглощающим материалом из&nbsp;минерального волокна. Падение давления на&nbsp;шумоглушителе вычисляется как для участка воздуховода того&nbsp;же размера.</p>

<h4>Гарантия&nbsp;&mdash; 12&nbsp;месяцев</h4>",,1,,Купить SCr 500/900 Шумоглушитель SHUFT с доставкой на uralenergotel.ru,Купить SCr 500/900 Шумоглушитель SHUFT по низкой цене у официального дилера ТД УЭТ,scr_500_900,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CFW,SCr 500/900,27.5,500,65,500,106,65,500,65,106,65,27,https://rkcdn.ru/products/eaf4fab2-e1c2-11ed-b733-005056013a69/src.jpg
