Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,"Диаметр воздуховода, мм",Макс. напор,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Страна производства,Тип фильтра,Тип сечения,Изображения
FRKr (G3) 600x300/50 Фильтр кассетный SHUFT,,RUB,2390.0,1,1,,"<p>Купить FRKr (G3) 600x300/50 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 600x300/50 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 600x300/50 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 600x300/50 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 600x300/50 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_600x300_50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,TORNADO,FRKr (G3) 600x300/50,9.5,5,,64.4,34.4,600,,4.5,60,30,9.3,,,,https://rkcdn.ru/products/50660a11-e1c2-11ed-b733-005056013a69/src.jpg
FRr (F9) 700*400 Фильтр карманный (материал) SHUFT,,RUB,3276.0,1,1,,"<p>Купить FRr (F9) 700*400 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F9) 700*400 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F9) 700*400 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии FRr представляют из себя фильтрующие вставки, изготовленные из натканного материала с классом очистки F9, предназначенные для установки в фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:</h4>
<ul>
<li>
Фильтрующая вставка FRr с карманами из синтетического волокна.
</li>
<li>Класс очистки F9.
</li>
<li>Монтаж в горизонтальных каналах.</li>
<li>В вертикальных каналах карманами вниз во избежание складывания карманов.</li>
<li>
Фланцевое соединение.</li>
<li>
Допустимая температура перемещаемого воздуха от -40 до +70&deg;С
</li>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F9) 700*400 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F9) 700*400 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f9_700x400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P VWR EC,FRr (F9) 700*400,1.5,16,700*400,70,40,700,,16,70,30,1,,,,https://rkcdn.ru/products/694915b7-e1ce-11ed-b733-005056013a69/src.jpg
FBRr-K 600x300 Фильтр-бокс (корпус) SHUFT,,RUB,8010.0,1,1,,"<p>Купить FBRr-K 600x300 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr-K 600x300 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr-K 600x300 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушные фильтры cерии FBRr-K предназначены для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции.</p>

<p>Применяются в системах вентиляции и кондиционирования прямоугольного сечения.Фильтруемый воздух не должен содержать агрессивных газов и паров. Допустимая температура перемещаемого воздуха от –40 до +70&deg;С.</p>

<p>Корпус изготовлен из оцинкованной стали.Фильтрующие вставки FRKr - рамки с каркасной сеткой из оцинкованной стали и материалом класса очистки (G3-EU3) доступны опционально. Фильтры FBRr-K можно устанавливать в любом положении.</p>",,1,,Купить FBRr-K 600x300 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr-K 600x300 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_k_600x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 600x300,FBRr-K 600x300,9.3,34.4,600*300,64,24,600,,34.4,23.8,64.4,5.8,РОССИЯ,Кассетный,Прямоугольное,https://rkcdn.ru/products/47bc76ee-e1c1-11ed-b733-005056013a69/src.jpg
FBCr 355 Фильтр-бокс (корпус с материалом) SHUFT,,RUB,6750.0,1,1,,"<p>Купить FBCr 355 Фильтр-бокс (корпус с материалом) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBCr 355 Фильтр-бокс (корпус с материалом) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBCr 355 Фильтр-бокс (корпус с материалом) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной и&nbsp;вытяжной вентиляции. Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Корпус фильтра выполнен из&nbsp;оцинкованной стали. В&nbsp;качестве фильтрующих вставок используется синтетический материал с&nbsp;классом очистки G3(EU3). Корпус фильтра снабжен круглыми патрубками с&nbsp;резиновыми уплотнителями для подсоединения к&nbsp;другим элементам системы. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр для круглых каналов карманного типа, любого класса очистки.</p>

<p>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</p>",,1,,Купить FBCr 355 Фильтр-бокс (корпус с материалом) SHUFT с доставкой на uralenergotel.ru,Купить FBCr 355 Фильтр-бокс (корпус с материалом) SHUFT по низкой цене у официального дилера ТД УЭТ,fbcr_355,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P VEL EC,FBCr 355,8,44.5,355,48,31,355,,44.5,48,31,7.5,РОССИЯ,,,https://rkcdn.ru/products/f8963050-e1ce-11ed-b733-005056013a69/src.jpg
FRKr (G3) 400x200/50 Фильтр кассетный SHUFT,,RUB,1730.0,1,1,,"<p>Купить FRKr (G3) 400x200/50 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 400x200/50 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 400x200/50 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 400x200/50 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 400x200/50 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_400x200_50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,AXW,FRKr (G3) 400x200/50,7,5,,44.4,24.4,400,,5,40,20,6.5,,,,https://rkcdn.ru/products/50660a21-e1c2-11ed-b733-005056013a69/src.jpg
FBRr-K 400x200 Фильтр-бокс (корпус) SHUFT,,RUB,7420.0,1,1,,"<p>Купить FBRr-K 400x200 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr-K 400x200 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr-K 400x200 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушные фильтры cерии FBRr-K предназначены для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции.</p>

<p>Применяются в системах вентиляции и кондиционирования прямоугольного сечения.Фильтруемый воздух не должен содержать агрессивных газов и паров. Допустимая температура перемещаемого воздуха от –40 до +70&deg;С.</p>

<p>Корпус изготовлен из оцинкованной стали.Фильтрующие вставки FRKr - рамки с каркасной сеткой из оцинкованной стали и материалом класса очистки (G3-EU3) доступны опционально. Фильтры FBRr-K можно устанавливать в любом положении.</p>",,1,,Купить FBRr-K 400x200 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr-K 400x200 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_k_400x200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 400x200,FBRr-K 400x200,6.5,24.4,400*200,44.4,24.3,400,,24.4,23.8,44.4,3.95,РОССИЯ,Кассетный,Прямоугольное,https://rkcdn.ru/products/47bc76ec-e1c1-11ed-b733-005056013a69/src.jpg
FRr (F7-EU7) 800*500 Фильтр карманный (материал) SHUFT,,RUB,7510.0,1,1,,"<p>Купить FRr (F7-EU7) 800*500 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F7-EU7) 800*500 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F7-EU7) 800*500 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с&nbsp;классом очистки F7&nbsp;(EU7), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F7-EU7.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F7-EU7) 800*500 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F7-EU7) 800*500 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f7_eu7_800x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,FRr (F7-EU7) 800*500,3.6,20,800*500,80,50,800,,20,80,50,3.1,,,,https://rkcdn.ru/products/633ee258-e1ce-11ed-b733-005056013a69/src.jpg
FBRr-K 500x300 Фильтр-бокс (корпус) SHUFT,,RUB,8210.0,1,1,,"<p>Купить FBRr-K 500x300 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr-K 500x300 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr-K 500x300 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушные фильтры cерии FBRr-K предназначены для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции.</p>

<p>Применяются в системах вентиляции и кондиционирования прямоугольного сечения.Фильтруемый воздух не должен содержать агрессивных газов и паров. Допустимая температура перемещаемого воздуха от –40 до +70&deg;С.</p>

<p>Корпус изготовлен из оцинкованной стали.Фильтрующие вставки FRKr - рамки с каркасной сеткой из оцинкованной стали и материалом класса очистки (G3-EU3) доступны опционально. Фильтры FBRr-K можно устанавливать в любом положении.</p>",,1,,Купить FBRr-K 500x300 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr-K 500x300 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_k_500x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 500x300,FBRr-K 500x300,8.5,34.4,500*300,54.4,24.3,500,,34.4,23.8,54.4,5.17,РОССИЯ,Кассетный,Прямоугольное,https://rkcdn.ru/products/47bc76f4-e1c1-11ed-b733-005056013a69/src.jpg
FRKr (G3) 500x300/50 Фильтр кассетный SHUFT,,RUB,2030.0,1,1,,"<p>Купить FRKr (G3) 500x300/50 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 500x300/50 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 500x300/50 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 500x300/50 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 500x300/50 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_500x300_50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,IEF,FRKr (G3) 500x300/50,9,5,,54.4,34.4,500,,5,54,34,8.5,,,,https://rkcdn.ru/products/566b5c2f-e1c2-11ed-b733-005056013a69/src.jpg
FRKr (G3) 1000x500/50 Фильтр кассетный SHUFT,,RUB,4930.0,1,1,,"<p>Купить FRKr (G3) 1000x500/50 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 1000x500/50 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 1000x500/50 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 1000x500/50 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 1000x500/50 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_1000x500_50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Light Commercial,FRKr (G3) 1000x500/50,15.5,5,,104.4,54.4,1000,,4,97,48,15,,,,https://rkcdn.ru/products/50660a1d-e1c2-11ed-b733-005056013a69/src.jpg
FBRr 1000*500 Фильтр-бокс (корпус) SHUFT,,RUB,17020.0,1,1,,"<p>Купить FBRr 1000*500 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr 1000*500 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr 1000*500 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной вентиляции и&nbsp;кондиционирования.</p>

<p>Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Допустимая температура перемещаемого воздуха от&nbsp;-40&nbsp;до&nbsp;+70&nbsp;&deg;С.<br />
Корпус фильтр бокса выполнен из&nbsp;оцинкованной стали. Фильтрующие вставки изготавливаются из&nbsp;нетканого материала с&nbsp;классом очистки G3(EU3) и&nbsp;F5(EU5).</p>

<p>Для простоты обслуживания фильтрующие вставки устанавливаются в&nbsp;направляющих. Наличие фланцев с&nbsp;обеих сторон фильтра обеспечивает простоту монтажа. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр любого класса очистки.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</strong></p>",,1,,Купить FBRr 1000*500 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr 1000*500 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_1000x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,WHR,FBRr 1000*500,20.92,54.4,1000*500,63,104,1000,,54.4,104,63.5,20.42,РОССИЯ,Карманный,Прямоугольное,https://rkcdn.ru/products/635760d3-f109-11ee-b8d8-00505601218a/src.jpg
FBRr 600*300 Фильтр-бокс (корпус) SHUFT,,RUB,8910.0,1,1,,"<p>Купить FBRr 600*300 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr 600*300 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr 600*300 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной вентиляции и&nbsp;кондиционирования.</p>

<p>Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Допустимая температура перемещаемого воздуха от&nbsp;-40&nbsp;до&nbsp;+70&nbsp;&deg;С.<br />
Корпус фильтр бокса выполнен из&nbsp;оцинкованной стали. Фильтрующие вставки изготавливаются из&nbsp;нетканого материала с&nbsp;классом очистки G3(EU3) и&nbsp;F5(EU5).</p>

<p>Для простоты обслуживания фильтрующие вставки устанавливаются в&nbsp;направляющих. Наличие фланцев с&nbsp;обеих сторон фильтра обеспечивает простоту монтажа. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр любого класса очистки.</p>

<p><strong>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</strong></p>",,1,,Купить FBRr 600*300 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr 600*300 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_600x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,WHR,FBRr 600*300,8.7,34,600*300,53,64,600,,34,64,53,8.2,РОССИЯ,Карманный,Прямоугольное,https://rkcdn.ru/products/6995f914-f109-11ee-b8d8-00505601218a/src.jpg
