Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Макс. производительность,Управление c мобильного приложения по Wi-Fi,Вес товара с упаковкой (брутто),Работает с Марусей,Высота упаковки товара,Работает с Алисой,Глубина упаковки товара,Макс. расход воздуха,Ширина упаковки товара,Высота товара,Wi-Fi модуль,Глубина товара,Ширина товара,Вес товара (нетто),"Макс. потребляемая мощность, Вт",Макс. уровень шума,Мощность нагревателя,Мин. уровень шума,Мощность преднагревателя,Страна производства,Система самодиагностики неисправности,Таймер на отключение,Гарантийный срок,Серия,Регулировка скорости вращения вентилятора,Индикация включения,Пульт управления в комплекте,Защита от перегрева,Охладитель,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
"UniMAX-P 850-3,0CE EC Установка приточно-вытяжная UniMAX-P 850 CE EC SHUFT",,RUB,425630.0,1,1,,"<p>Купить UniMAX-P 850-3,0CE EC Установка приточно-вытяжная UniMAX-P 850 CE EC SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 850-3,0CE EC Установка приточно-вытяжная UniMAX-P 850 CE EC SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 850-3,0CE EC Установка приточно-вытяжная UniMAX-P 850 CE EC SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>
<p><b>Установки серии UniMAX-P CE EC </b>предназначены для очистки, нагрева, подачи свежего воздуха в жилые, общественные и производственные помещения малых и средних объемов: офисы, магазины, квартиры, коттеджи и т.п. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло приточному воздуху.</p> 

<h4>Монтаж</h4>
<p>Горизонтально на боку.<br />
К потолку на шпильках.<br />
С дренажной трассой.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали со звуко- и теплоизоляцией из минваты 30-50 мм. </li>
<li>Вентиляторы с назад загнутыми лопатками и термозащитой не требующие техобслуживания, электронагреватель  с двухступенчатой защитой от перегрева, приточный и вытяжной фильтры EU5. </li>
<li>Пластинчатый рекуператор из алюминия  с КПД до 95% с защита от обмерзания. </li>
<li>Встроенная система автоматики с пультами управления PRO и FLEX с кабелем 15 метров в комплекте.</li>
</ul>

<h4>Преимущества</h4>
<ul>
<li>Экономия энергоресурсов при эффективном вентилировании помещений. </li>
<li>Низкий уровень шума. </li>
<li>Удобный монтаж.</li>
</ul>",,1,,"Купить UniMAX-P 850-3,0CE EC Установка приточно-вытяжная UniMAX-P 850 CE EC SHUFT с доставкой на uralenergotel.ru","Купить UniMAX-P 850-3,0CE EC Установка приточно-вытяжная UniMAX-P 850 CE EC SHUFT по низкой цене у официального дилера ТД УЭТ",unimax_p_850_3_0ce_ec,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P CE EC,"UniMAX-P 850-3,0CE EC",,,106.5,,50,,90,850,136,50,,136,90,106,4.6,,3,,,ЛИТВА,Да,,3 года,UniMAX-P CE EC,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/cb8446cd-b671-11ed-b733-005056013a69/src.jpg,,,,,,,
SKOYOD Allston-VH5.5 Установка приточно-вытяжная SHUFT,,RUB,260610.0,1,1,,"<p>Купить SKOYOD Allston-VH5.5 Установка приточно-вытяжная SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SKOYOD Allston-VH5.5 Установка приточно-вытяжная SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SKOYOD Allston-VH5.5 Установка приточно-вытяжная SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить SKOYOD Allston-VH5.5 Установка приточно-вытяжная SHUFT с доставкой на uralenergotel.ru,Купить SKOYOD Allston-VH5.5 Установка приточно-вытяжная SHUFT по низкой цене у официального дилера ТД УЭТ,skoyod_allston_vh5_5,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SKOYOD,SKOYOD Allston-VH5.5,550,Опция доступна при подключении съемного Wi-Fi модуля,9,,33,,135,,78.5,25,,122,70,8.7,350,36,,,,КНР,Да,,3 года,SKOYOD,Плавная,,Да,Да,,https://rkcdn.ru/products/89f040fe-c105-11ee-b8d6-00505601218a/src.jpg,,,,,,,
Stellar VR-350 inv Установка приточно-вытяжная вертикальная Shuft SHUFT,,RUB,233940.0,1,1,,"<p>Купить Stellar VR-350 inv Установка приточно-вытяжная вертикальная Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на Stellar VR-350 inv Установка приточно-вытяжная вертикальная Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим Stellar VR-350 inv Установка приточно-вытяжная вертикальная Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить Stellar VR-350 inv Установка приточно-вытяжная вертикальная Shuft SHUFT с доставкой на uralenergotel.ru,Купить Stellar VR-350 inv Установка приточно-вытяжная вертикальная Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,stellar_vr_350_inv,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Stellar,Stellar VR-350 inv,350,Нет,45,,66,,104,,54,98,,131,31,44,272,37,,,,КНР,Да,,3 года,Stellar,Плавная,,Нет,Да,,https://rkcdn.ru/products/3b04a50d-e78b-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/3b04a50f-e78b-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/46d03ded-e78b-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/46d03def-e78b-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/8c61fc5f-f717-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/db540c4f-f7ea-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/8c61fc61-f717-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/170a6c1e-e78b-11ee-b8d6-fcc4412c8469/src.jpg
UniMAX-P 1400VEL EC Установка приточно-вытяжная UniMAX-P 1400 VEL EC SHUFT,,RUB,745990.0,0,1,,"<p>Купить UniMAX-P 1400VEL EC Установка приточно-вытяжная UniMAX-P 1400 VEL EC SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 1400VEL EC Установка приточно-вытяжная UniMAX-P 1400 VEL EC SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 1400VEL EC Установка приточно-вытяжная UniMAX-P 1400 VEL EC SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки SHUFT серии UniMAX-R VE EC</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших и средних объемов: офисы, магазины, квартиры и т.п. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при имеющихся ограничениях на энергоресурсы. </p>

<p>Установки изготавливаются в корпусе из листовой оцинкованной стали со звукотеплоизоляцией 50 мм из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, электрическим нагревателем, приточным и вытяжным фильтрами, роторным регенератором, системой автоматического управления с пультом дистанционного управления.</p> 

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и имеют увеличенный срок службы. </p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. Электронагреватели имеют двухступенчатую защиту от перегрева. Первая ступень настроена на 60&deg;С и перезапускается автоматически, вторая ступень настроена на 120&deg;С и перезапускается вручную. </p>

<p>В установках регулируются скорость и температура приточного воздуха. Установки предназначены для монтажа непосредственно к круглым воздуховодам. Присоединительные патрубки имеют резиновые уплотнения. </p>

<p>Установки имеют 2 варианта исполнения. У левого (L) патрубок для присоединения воздуховода наружного воздуха находится слева, а у правого (R) – справа.</p>",,1,,Купить UniMAX-P 1400VEL EC Установка приточно-вытяжная UniMAX-P 1400 VEL EC SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-P 1400VEL EC Установка приточно-вытяжная UniMAX-P 1400 VEL EC SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_p_1400vel_ec,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P VEL EC,UniMAX-P 1400VEL EC,,,170.5,,39,,150,1400,155,39,,155,150,170,7.1,,6.7,,,РОССИЯ,Да,,3 года,UniMAX-P VEL EC,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/529b5c9e-b673-11ed-b733-005056013a69/src.jpg,,,,,,,
UniMAX-P 1500 CW-A Установка приточно-вытяжная  SHUFT,,RUB,550460.0,1,1,,"<p>Купить UniMAX-P 1500 CW-A Установка приточно-вытяжная  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 1500 CW-A Установка приточно-вытяжная  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 1500 CW-A Установка приточно-вытяжная  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Установка SHUFT серии UniMAX-P CW поможет в регулярном обновлении воздуха внутри помещений различного назначения. Монтаж такого устройства осуществляется специалистом под потолком. Для доступа к внутренним компонентам для проведения сервисного обслуживания корпус оборудован специальной дверцей. Управление работой производится посредством пульта ДУ.</p>

<h4>Преимущества:</h4>

<ul>

<li>Встроенная автоматика.</li>
<li>
Очистка, нагрев, подача свежего воздуха в помещения.</li>
<li>
Для помещений жилого, административного и общественного типа малых и средних размеров.
</li>
<li>Простой подвесной монтаж.
</li>
<li>Дренажная трасса.</li>
<li>
Электрический или водяной нагреватель.</li>
<li>
Пластинчатый рекуператор с КПД до 90%.</li>
<li>
Защита от обмерзания.</li>
<li>
Патрубок для подключения свежего воздуха с левой или правой стороны.</li>
<li>
Прочный корпус из оцинкованной стали.
</li>
<li>Звуко-, теплоизоляция корпуса 30-50 мм.
</li>
<li>Малошумный вентилятор.
</li>
<li>Надежная термозащита.
</li>
<li>Двухступенчатая защита от перегрева.
</li>
<li>Воздушные приточные и вытяжные фильтры.
</li>
<li>Эффективное вентилирования.
</li>
<li>Экономичный расход энергоресурсов.</li>
<li>
Низкий уровень шума.
Управление с помощью пульта.</li>
</ul>


<p>UniMAX-P C-A – это подвесные компактные приточно-вытяжные установки со встроенной автоматикой, разработанные компанией Shuft. Модельный ряд семейства весьма широк и включает агрегаты с электрическим и водяным нагревом. Выполнены установки в прочном корпусе из оцинкованной стали, который имеет плотный слой звукоизоляции. Также приборы оборудованы фильтрами для очистки поступаемого и удаляемого воздуха. Хочется отметить, что бренд Shuft многие годы занимается производством вентиляционного оборудования. За время свей деятельности компания зарекомендовала себя в качестве надежного партнера, а их оборудование завоевало любовь пользователей по всему миру.</p>
",,1,,Купить UniMAX-P 1500 CW-A Установка приточно-вытяжная  SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-P 1500 CW-A Установка приточно-вытяжная  SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_p_1500_cw_a,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P CW-A,UniMAX-P 1500 CW-A,,,189.5,,54.9,,136,1500,190,54.9,,190,136.3,189,0.73,,9,,,ЛИТВА,Да,,3 года,UniMAX-P CW-A,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/cb8446c4-b671-11ed-b733-005056013a69/src.jpg,,,,,,,
UniMAX-P 2000 SW-A Установка приточно-вытяжная  SHUFT,,RUB,587970.0,0,1,,"<p>Купить UniMAX-P 2000 SW-A Установка приточно-вытяжная  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 2000 SW-A Установка приточно-вытяжная  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 2000 SW-A Установка приточно-вытяжная  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки серии UniMAX-P SW</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших и средних объемов: офисы, магазины, квартиры и т.п. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при существовании ограничения на энергоресурсы. Установки можно легко монтировать непосредственно в обслуживаемом помещении.</p>

<p>Установки изготавливаются в корпусе из листовой оцинкованной стали с 50-мм звукотеплоизоляцией из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, электрическим предварительным нагревателем (UniMAX-P 450SW и UniMAX-P 800SW), приточным и вытяжным фильтрами, пластинчатым рекуператором, байпасом (для UniMAX-P 1000/1500/2000SW, UniMAX-P 2800/3500SW) с приводом заслонки (для UniMAX-P1000/1500/2000 SW), системой автоматического управления с пультом дистанционного управления (кроме UniMAX-P 2800/3500 SW).</p> 

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и обеспечивают увеличенный срок службы.</p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. Предварительный электронагреватель имеет двухступенчатую защиту от перегрева. Первая ступень настроена на 60&deg;С и перезапускается автоматически, вторая ступень настроена на 120&deg;С и перезапускается вручную. Система управления позволяет защитить водяной нагреватель от замерзания. В установке регулируются скорость и температура приточного воздуха. Пластинчатый рекуператор защищен от обмерзания.</p>

<p>Установка предназначена для монтажа непосредственно к круглым воздуховодам. Присоединительные патрубки имеют резиновые уплотнения. Диапазон изменения температуры составляет -20&hellip;+40&deg;С.</p>",,1,,Купить UniMAX-P 2000 SW-A Установка приточно-вытяжная  SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-P 2000 SW-A Установка приточно-вытяжная  SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_p_2000_sw_a,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P SW-A,UniMAX-P 2000 SW-A,,,216.5,,112,,79,1800,180,112,,180,79,216,0.51,,23,,,ЛИТВА,Да,,3 года,UniMAX-P SW-A,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/ec76b230-b672-11ed-b733-005056013a69/src.jpg,,,,,,,
PVS-200 Установка приточно-вытяжная Shuft Star SHUFT,,RUB,77900.0,0,1,,"<p>Купить PVS-200 Установка приточно-вытяжная Shuft Star SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PVS-200 Установка приточно-вытяжная Shuft Star SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PVS-200 Установка приточно-вытяжная Shuft Star SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить PVS-200 Установка приточно-вытяжная Shuft Star SHUFT с доставкой на uralenergotel.ru,Купить PVS-200 Установка приточно-вытяжная Shuft Star SHUFT по низкой цене у официального дилера ТД УЭТ,pvs_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Star,PVS-200,200,Опция доступна при подключении съемного Wi-Fi модуля,21,,32,,57,200,81,32,,81,57,20,102,31.5,,,,КНР,,,3 года,Star,Ступенчатая,,Да,Да,,https://rkcdn.ru/products/2334589a-df7b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/1c4d14d0-df7b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/145e6f4e-df7b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/145e6f4c-df7b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/0c973e51-df7b-11ee-b8d6-00505601218a/src.jpg,,,
RVX-250 inv Установка приточно-вытяжная Shuft Universe SHUFT,,RUB,124490.0,1,1,,"<p>Купить RVX-250 inv Установка приточно-вытяжная Shuft Universe SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RVX-250 inv Установка приточно-вытяжная Shuft Universe SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RVX-250 inv Установка приточно-вытяжная Shuft Universe SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить RVX-250 inv Установка приточно-вытяжная Shuft Universe SHUFT с доставкой на uralenergotel.ru,Купить RVX-250 inv Установка приточно-вытяжная Shuft Universe SHUFT по низкой цене у официального дилера ТД УЭТ,rvx_250_inv,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Universe,RVX-250 inv,250,Опция доступна при подключении съемного Wi-Fi модуля,35,,87,,118,250,30,87,,118,30,34,95,34,,,,КНР,,,3 года,Universe,Ступенчатая,,Да,Да,,https://rkcdn.ru/products/ebc7e28b-df72-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/fda09a8b-df72-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/fda09a89-df72-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/f3fcfef0-df72-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/f3fcfeee-df72-11ee-b8d6-00505601218a/src.jpg,,,
Stellar VR-250 inv Установка приточно-вытяжная вертикальная Shuft SHUFT,,RUB,199910.0,1,1,,"<p>Купить Stellar VR-250 inv Установка приточно-вытяжная вертикальная Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на Stellar VR-250 inv Установка приточно-вытяжная вертикальная Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим Stellar VR-250 inv Установка приточно-вытяжная вертикальная Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить Stellar VR-250 inv Установка приточно-вытяжная вертикальная Shuft SHUFT с доставкой на uralenergotel.ru,Купить Stellar VR-250 inv Установка приточно-вытяжная вертикальная Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,stellar_vr_250_inv,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Stellar,Stellar VR-250 inv,250,Нет,35,,65,,103,,54,87,,118,30,34,137,35,,,,КНР,Да,,3 года,Stellar,Плавная,,Нет,Да,,https://rkcdn.ru/products/e2f35a80-e78a-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/d9479188-e78a-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/d9479186-e78a-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/c65a4eb0-f7ea-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/771cffb2-f717-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/771cffb0-f717-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/ea63696b-e78a-11ee-b8d6-fcc4412c8469/src.jpg,https://rkcdn.ru/products/ea63696d-e78a-11ee-b8d6-fcc4412c8469/src.jpg
UniMAX-R 1400VER EC Установка приточно-вытяжная UniMAX-R 1400 VER EC SHUFT,,RUB,559620.0,0,1,,"<p>Купить UniMAX-R 1400VER EC Установка приточно-вытяжная UniMAX-R 1400 VER EC SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-R 1400VER EC Установка приточно-вытяжная UniMAX-R 1400 VER EC SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-R 1400VER EC Установка приточно-вытяжная UniMAX-R 1400 VER EC SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки SHUFT серии UniMAX-R VE EC</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших и средних объемов: офисы, магазины, квартиры и т.п. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при имеющихся ограничениях на энергоресурсы. </p>

<p>Установки изготавливаются в корпусе из листовой оцинкованной стали со звукотеплоизоляцией 50 мм из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, электрическим нагревателем, приточным и вытяжным фильтрами, роторным регенератором, системой автоматического управления с пультом дистанционного управления.</p> 

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и имеют увеличенный срок службы. </p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. Электронагреватели имеют двухступенчатую защиту от перегрева. Первая ступень настроена на 60&deg;С и перезапускается автоматически, вторая ступень настроена на 120&deg;С и перезапускается вручную. </p>

<p>В установках регулируются скорость и температура приточного воздуха. Установки предназначены для монтажа непосредственно к круглым воздуховодам. Присоединительные патрубки имеют резиновые уплотнения. </p>

<p>Установки имеют 2 варианта исполнения. У левого (L) патрубок для присоединения воздуховода наружного воздуха находится слева, а у правого (R) – справа.</p>",,1,,Купить UniMAX-R 1400VER EC Установка приточно-вытяжная UniMAX-R 1400 VER EC SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-R 1400VER EC Установка приточно-вытяжная UniMAX-R 1400 VER EC SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_r_1400ver_ec,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-R VER EC,UniMAX-R 1400VER EC,,,180.5,,124,,85,1400,150,124,,150,85.5,180,4.7,,8,,,РОССИЯ,Да,,3 года,UniMAX-R VER EC,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/5f574895-b673-11ed-b733-005056013a69/src.jpg,,,,,,,
