Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Номинальная производительность охлаждения,Сетевой кабель,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Вес товара с упаковкой (брутто),Мин. рабочая температура воздуха для внешнего блока,Таймер на отключение,Высота упаковки товара,Таймер на включение,Высота внутр. блока,Глубина упаковки товара,Высота внешнего блока,Макс. рабочая температура воздуха для внешнего блока,Ширина упаковки товара,Глубина внешнего блока,Макс. потребляемая мощность,Тип блока,Глубина внутр. блока,"Мощность кондиционера (охлаждение),BTU",Гарантийный срок,Ширина внешнего блока,Ширина внутр. блока,Индикация температуры воздуха (вблизи устройства),Индикация температуры воздуха (вблизи пульта управления),Серия,Высота товара,Уровень шума внутр. блока,Ширина декоративной панели,Хладагент,Глубина товара,Макс. уровень шума внешнего блока,Мин. поддерживаемая температура,Ширина товара,Глубина декоративной панели,Эффективен для помещ. площадью до,Моющийся воздушный фильтр в комплекте,Макс. длина магистрали (трассы),Регулировка температуры охлаждения,Длина декоративной панели,Класс энергоэффективности,Вес декоративной панели (нетто),Функция ионизации воздуха,Режим автоочистки,Количество ступеней фильтрации,Макс. перепад высот между внутр. и внешним блоками,Точность установки температуры,Инверторная технология,Режим обогрева,Режим осушения,"Базовая мощность кондиционера (охлаждение),BTU",Макс. производительность охлаждения,Функция интенсивного охлаждения,Цифровой дисплей,Режим SLEEP,Подмес воздуха с улицы,Макс. производительность обогрева,Производительность по воздуху,Вес фреона,Вес внутр. блока (нетто),Набор крепежных элементов в комплекте,Потребляемая мощность в режиме нагрева,Вес внешнего блока (нетто),Режим вентиляции,Пульт управления в комплекте,Потребляемая мощность в режиме охлаждения,Класс пылевлагозащищенности,Номинальная производительность обогрева,Длина кабеля,Регулировка температуры обогрева,Страна производства,Макс. производительность,Коэффициент энергоэффективности EER/COP,Гарантийный документ,Память заданных параметров работы,Авторестарт при отключении питания,Регулировка положения жалюзи с пульта,Антибактериальный фильтр,Установка реального времени,Деодорирующий фильтр в комплекте,Поддержание температуры вблизи пульта управления,Pre Filter (фильтр предварительной очистки),Индикация режимов работы,Гарантийный талон,Подсветка дисплея,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Режим размораживания внешнего блока,Изображения,Изображения,Изображения
"BLCI_CF-36HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU",,RUB,169800.0,1,1,,"<p>Купить BLCI_CF-36HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLCI_CF-36HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLCI_CF-36HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BLCI_CF-36HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU с доставкой на uralenergotel.ru","Купить BLCI_CF-36HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU по низкой цене у официального дилера ТД УЭТ",blci_cf_36hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal 2 DC,BLCI_CF-36HN1_24Y,10.55,Нет,Нет,Да,85,-15,Да,71.761,Да,0.235,100,0.805,48,100,0.36,3.75,Напольно-потолочный,0.675,36000,3 года,0.91,1.275,Да,Да,Universal 2 DC,61.186,48,,R410a,100,56,,100,,105,Да,30,Да,,B,,Нет,Да,1,15,"1,0 °С",Да,Да,Да,36000,11,Да,Да,Да,Да,12,1600,,28,Нет,3600,47,Да,Да,3500,IPX4,11.55,,Да,КНР,,,,,,,,Нет,,,,,,,105,,https://rkcdn.ru/products/8fcf6a67-ca64-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/4980c4fe-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/1646d00b-ca66-11ee-b8d6-00505601218a/src.jpg
"BLCI_C-18HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU",,RUB,104600.0,1,1,,"<p>Купить BLCI_C-18HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLCI_C-18HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLCI_C-18HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BLCI_C-18HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU с доставкой на uralenergotel.ru","Купить BLCI_C-18HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU по низкой цене у официального дилера ТД УЭТ",blci_c_18hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal 2 DC,BLCI_C-18HN1_24Y,5.28,Нет,Нет,Да,64.5,-15,Да,56.752,Да,0.245,100,0.59,48,100,0.288,2.49,Кассетный,0.84,18000,3 года,0.78,0.84,Да,Да,Universal 2 DC,42.867,27,0.95,R410a,100,57,,100,0.045,52,Да,30,Да,0.95,C,6,Нет,Да,1,15,"1,0 °С",Да,Да,Да,18000,5.6,Да,Да,Да,Да,"6,2",1000,,21.5,Нет,1650,28,Да,Да,2100,IPX4,5.6,,Да,КНР,,,,,,Да,,Нет,,,,,,,52,,https://rkcdn.ru/products/4b2a70e7-ca64-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/c8031142-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/07c824c2-ca65-11ee-b8d6-00505601218a/src.jpg
"BLC_M_C-48HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU",,RUB,161200.0,0,1,,"<p>Купить BLC_M_C-48HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLC_M_C-48HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLC_M_C-48HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Полупромышленные кассетные сплит-системы Ballu оснащены опцией &quot;зимний комплект&quot; и оптимизированным алгоритмом системы управления. Сплит-система способна охлаждать помещения до 165 кв.м. даже при действительно низких температурах за окном. Кассетные сплит-системы Ballu также эффективны в режимах осушения и обогрева воздуха.
</p>
",,1,,"Купить BLC_M_C-48HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU с доставкой на uralenergotel.ru","Купить BLC_M_C-48HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU по низкой цене у официального дилера ТД УЭТ",blc_m_c_48hn1_22y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal II (BLC_M),BLC_M_C-48HN1_22Y,14.1,Нет,Нет,Да,146.3,-15,Да,93.1,Да,0.245,100,1.17,43,100,0.35,5.191,Кассетный,0.83,48000,3 года,0.9,0.83,Да,Да,Universal II (BLC_M),,50,0.91,R410a,,63,,,0.055,140,Да,50,Да,0.91,D,6,Нет,Да,1,30,"1,0 °С",Нет,Да,Да,48000,14.1,Да,Да,Да,Да,"15,2",1916,,28.3,Нет,,98.6,Да,Да,,,15.2,,Да,,1916,"2,71/3,2",Гарантийный талон,Да,Да,Да,Нет,Да,Нет,Да,В комплекте,Да,,Да,140,Да,https://rkcdn.ru/products/b8f9c951-b741-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/68723c27-b757-11ec-b732-005056013a69/src.jpg,
"BLCI_C-24HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU",,RUB,125000.0,1,1,,"<p>Купить BLCI_C-24HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLCI_C-24HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLCI_C-24HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BLCI_C-24HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU с доставкой на uralenergotel.ru","Купить BLCI_C-24HN1_24Y Комплект  инверторной сплит-системы, кассетного типа BALLU по низкой цене у официального дилера ТД УЭТ",blci_c_24hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal 2 DC,BLCI_C-24HN1_24Y,7.03,Нет,Нет,Да,70,-15,Да,56.752,Да,0.245,100,0.59,48,100,0.288,2.84,Кассетный,0.84,24000,3 года,0.78,0.84,Да,Да,Universal 2 DC,42.867,37,0.95,R410a,100,53,,100,0.045,70,Да,30,Да,0.95,C,6,Нет,Да,1,15,"1,0 °С",Да,Да,Да,24000,8.2,Да,Да,Да,Да,"9,3",1300,,23,Нет,2380,31,Да,Да,2510,IPX4,7.91,,Да,КНР,,,,,,Да,,Нет,,,,,,,70,,https://rkcdn.ru/products/116ce2ef-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/d2895b44-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/56736cf7-ca64-11ee-b8d6-00505601218a/src.jpg
"BLCI_D-18HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU",,RUB,95900.0,1,1,,"<p>Купить BLCI_D-18HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLCI_D-18HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLCI_D-18HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BLCI_D-18HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU с доставкой на uralenergotel.ru","Купить BLCI_D-18HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU по низкой цене у официального дилера ТД УЭТ",blci_d_18hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal 2 DC,BLCI_D-18HN1_24Y,5.27,Нет,Нет,Да,56.5,-15,Да,43.06,Да,0.21,100,0.59,48,100,0.288,2.49,Канальный,0.57,18000,3 года,0.78,0.92,Нет,Да,Universal 2 DC,32.531,35,,R410a,100,57,,100,,52,Да,30,Да,,C,,Нет,Да,1,15,"1,0 °С",Да,Да,Да,18000,5.46,Да,Да (выносной пульт управления),Да,Да,"5,98",850,,21.5,Нет,1900,28,Да,Да,2250,IPX4,5.7,,Да,КНР,,,,,,,,,,,,,,,,,https://rkcdn.ru/products/7ea7830d-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/aa918dcf-ca64-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/31517793-ca66-11ee-b8d6-00505601218a/src.jpg
BFS-60HN1 Сплит-система колонного типа  комплект BALLU,,RUB,263700.0,1,1,,"<p>Купить BFS-60HN1 Сплит-система колонного типа  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BFS-60HN1 Сплит-система колонного типа  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BFS-60HN1 Сплит-система колонного типа  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Сплит-системы колонного типа незаменимы в условиях, когда нет возможности традиционного монтажа сплит-системы на стену или потолок. Мощный воздушный поток и вертикальные автоматические жалюзи с поворотом на 160&deg; позволяют кондиционерам быстро и эффективно подавать воздух на большие расстояния. Оптимальны для просторных помещений сложной формы с высокими потолками.
</p>",,1,,Купить BFS-60HN1 Сплит-система колонного типа  комплект BALLU с доставкой на uralenergotel.ru,Купить BFS-60HN1 Сплит-система колонного типа  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bfs_60hn1,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Floor Standing,BFS-60HN1,16,Нет,Нет,Да,176,-15,Да,136.7,Да,1.87,100,1.386,43,100,0.34,5.31,Колонный,0.38,60000,3 года,0.95,0.58,Да,Да,Floor Standing,,48,,R410a,,58,,,,160,Нет,50,Да,,B,,Нет,Да,1,30,"1,0 °С",Нет,Да,Да,60000,16,Да,Да,Да,Нет,17,2000,,55,Нет,,106,Да,Да,,,17,,Да,КНР,2000,"3,01/3,01",Гарантийный талон,Да,Да,Да,Нет,Да,Нет,Да,,Да,,,160,Да,https://rkcdn.ru/products/f2ee55f7-1a76-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c91871d1-e8c2-11ec-b732-005056013a69/src.jpg,
"BLCI_D-24HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU",,RUB,116900.0,1,1,,"<p>Купить BLCI_D-24HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLCI_D-24HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLCI_D-24HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BLCI_D-24HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU с доставкой на uralenergotel.ru","Купить BLCI_D-24HN1_24Y Комплект  инверторной сплит-системы, канального типа BALLU по низкой цене у официального дилера ТД УЭТ",blci_d_24hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal 2 DC,BLCI_D-24HN1_24Y,7.03,Нет,Нет,Да,60,-15,Да,43.06,Да,0.21,100,0.59,48,100,0.288,2.84,Канальный,0.57,24000,3 года,0.78,0.92,Нет,Да,Universal 2 DC,32.531,36,,R410a,100,53,,100,,70,Да,30,Да,,C,,Нет,Да,1,15,"1,0 °С",Да,Да,Да,24000,7.45,Да,Да (выносной пульт управления),Да,Да,"7,98",1100,,22,Нет,2380,31,Да,Да,2510,IPX4,7.6,,Да,КНР,,,,,,,,,,,,,,,,,https://rkcdn.ru/products/87b5660c-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/39170e79-ca66-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/b2302083-ca64-11ee-b8d6-00505601218a/src.jpg
"BLC_M_C-36HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU",,RUB,134000.0,0,1,,"<p>Купить BLC_M_C-36HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLC_M_C-36HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLC_M_C-36HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Полупромышленные кассетные сплит-системы Ballu оснащены опцией &quot;зимний комплект&quot; и оптимизированным алгоритмом системы управления. Сплит-система способна охлаждать помещения до 165 кв.м. даже при действительно низких температурах за окном. Кассетные сплит-системы Ballu также эффективны в режимах осушения и обогрева воздуха.
</p>
",,1,,"Купить BLC_M_C-36HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU с доставкой на uralenergotel.ru","Купить BLC_M_C-36HN1_22Y Комплект  полупромышленной сплит-системы, кассетного типа BALLU по низкой цене у официального дилера ТД УЭТ",blc_m_c_36hn1_22y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal II (BLC_M),BLC_M_C-36HN1_22Y,10.6,Нет,Нет,Да,134,-15,Да,80.7,Да,0.245,100,0.81,43,100,0.41,3.6,Кассетный,0.83,36000,3 года,0.946,0.83,Да,Да,Universal II (BLC_M),,45,0.91,R410a,,63,,,0.055,105,Да,30,Да,0.91,C,6,Нет,Да,1,20,"1,0 °С",Нет,Да,Да,36000,10.6,Да,Да,Да,Да,"11,1",1960,,26.1,Нет,,74.4,Да,Да,,,11.1,,Да,,1960,"2,93/3,09",Гарантийный талон,Да,Да,Да,Нет,Да,Нет,Да,В комплекте,Да,,Да,105,Да,https://rkcdn.ru/products/af85f2e9-b741-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/5c502617-b757-11ec-b732-005056013a69/src.jpg,
"BLCI_CF-48HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU",,RUB,208100.0,1,1,,"<p>Купить BLCI_CF-48HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLCI_CF-48HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLCI_CF-48HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BLCI_CF-48HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU с доставкой на uralenergotel.ru","Купить BLCI_CF-48HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU по низкой цене у официального дилера ТД УЭТ",blci_cf_48hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal 2 DC,BLCI_CF-48HN1_24Y,14.06,Нет,Нет,Да,113,-15,Да,79.974,Да,0.235,100,0.805,48,100,0.36,5.77,Напольно-потолочный,0.675,48000,3 года,0.91,1.635,Да,Да,Universal 2 DC,66.897,47,,R410a,100,57,,100,,140,Да,50,Да,,C,,Нет,Да,1,30,"1,0 °С",Да,Да,Да,48000,14.7,Да,Да,Да,Да,"16,1",2000,,39,Нет,4810,65,Да,Да,5020,IPX4,15.4,,Да,КНР,,,,,,,,Нет,,,,,,,140,,https://rkcdn.ru/products/622c7293-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/1f3f4cc6-ca66-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/98bfde08-ca64-11ee-b8d6-00505601218a/src.jpg
"BLCI_CF-24HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU",,RUB,118900.0,1,1,,"<p>Купить BLCI_CF-24HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BLCI_CF-24HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BLCI_CF-24HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BLCI_CF-24HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU с доставкой на uralenergotel.ru","Купить BLCI_CF-24HN1_24Y Комплект  инверторной сплит-системы, напольно-потолочного типа BALLU по низкой цене у официального дилера ТД УЭТ",blci_cf_24hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Universal 2 DC,BLCI_CF-24HN1_24Y,7.03,Нет,Нет,Да,62,-15,Да,47.298,Да,0.235,100,0.59,48,100,0.288,2.84,Напольно-потолочный,0.675,24000,3 года,0.78,1.055,Да,Да,Universal 2 DC,38.253,40,,R410a,100,53,,100,,70,Да,30,Да,,C,,Нет,Да,1,15,"1,0 °С",Да,Да,Да,24000,7.45,Да,Да,Да,Да,"7,98",1200,,24,Нет,2380,31,Да,Да,2510,IPX4,7.6,,Да,КНР,,,,,,,,Нет,,,,,,,70,,https://rkcdn.ru/products/3e43758a-ca65-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/0b52f806-ca66-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/88055f2f-ca64-11ee-b8d6-00505601218a/src.jpg
